# Y X drop drop_diff a0 a1
3.235294117647058876e+00 5.882352941176470784e-01 -9.633440356360267742e-04 -5.891986381532831052e-01 4.927693601247030153e-01 4.430905628917788386e-01
3.382352941176470562e+00 5.882352941176470784e-01 1.322733023254585305e-04 -5.881030208153216199e-01 4.707472227583995861e-01 4.538265687612190180e-01
3.529411764705882248e+00 5.882352941176470784e-01 5.028102520232557993e-04 -5.877324838656238226e-01 4.430736206076176242e-01 4.684650027977292353e-01
3.676470588235294379e+00 5.882352941176470784e-01 4.623691498699677993e-04 -5.877729249677771106e-01 4.108420035382155389e-01 4.860925522306374646e-01
3.823529411764706065e+00 5.882352941176470784e-01 4.119657182413138941e-04 -5.878233283994057645e-01 3.747312935221723817e-01 5.064113728497767752e-01
3.970588235294117752e+00 5.882352941176470784e-01 -9.897966019023485273e-05 -5.883342737778373133e-01 3.358925095596006494e-01 5.288090416863785448e-01
4.117647058823529882e+00 5.882352941176470784e-01 4.894052614135002699e-04 -5.877458888562335781e-01 2.959877005639705572e-01 5.526282356108853655e-01
4.264705882352941124e+00 5.882352941176470784e-01 -4.335244794624326659e-04 -5.886688185971095111e-01 2.564530648119036083e-01 5.771031635002601412e-01
4.411764705882353255e+00 5.882352941176470784e-01 -6.681073618786115276e-05 -5.883021048538349396e-01 2.187564805680373425e-01 6.019552773205214535e-01
4.558823529411764497e+00 5.882352941176470784e-01 -4.294280551075946306e-04 -5.886647221727546730e-01 1.839294831020551746e-01 6.266957494022225017e-01
4.705882352941176627e+00 5.882352941176470784e-01 3.704549014327263023e-05 -5.881982486275038058e-01 1.529820407915699343e-01 6.506298570835922224e-01
4.852941176470588758e+00 5.882352941176470784e-01 5.061818106053550537e-04 -5.877291123070417234e-01 1.262528750542495082e-01 6.738252475846611134e-01
5.000000000000000000e+00 5.882352941176470784e-01 -2.108722302329724130e-04 -5.884461663478800508e-01 1.036028886539638316e-01 6.962839772683920847e-01
0.000000000000000000e+00 7.352941176470588758e-01 -5.681221258369006932e-04 -7.358622397728957765e-01 2.203366352392871486e-01 3.995932859914815283e-01
1.470588235294117696e-01 7.352941176470588758e-01 -3.500489726302458138e-04 -7.356441666196891216e-01 2.487966172317928326e-01 4.494622080970559486e-01
2.941176470588235392e-01 7.352941176470588758e-01 -3.179678081304260218e-04 -7.356120854551893018e-01 2.750902922904495118e-01 4.903232335644304163e-01
4.411764705882352811e-01 7.352941176470588758e-01 7.983532543387461544e-05 -7.352142823216250012e-01 2.989028735642955126e-01 5.211644974876201708e-01
5.882352941176470784e-01 7.352941176470588758e-01 1.651237121396142982e-04 -7.351289939349192615e-01 3.206038639210866403e-01 5.421291748737372407e-01
7.352941176470588758e-01 7.352941176470588758e-01 -4.223131796803336613e-04 -7.357164308267392094e-01 3.406444357132942247e-01 5.542769124468421849e-01
8.823529411764705621e-01 7.352941176470588758e-01 -7.472898753775325531e-04 -7.360414075224364083e-01 3.598503436009194423e-01 5.588015990597725580e-01
1.029411764705882470e+00 7.352941176470588758e-01 -4.186965232715333940e-04 -7.357128141703304092e-01 3.784542855502062708e-01 5.575381162845821637e-01
1.176470588235294157e+00 7.352941176470588758e-01 6.607752222280716126e-04 -7.346333424248308042e-01 3.966388503734514792e-01 5.517442196053352621e-01
1.323529411764705843e+00 7.352941176470588758e-01 -1.229553095873914259e-03 -7.365236707429327900e-01 4.144210265997195775e-01 5.427629200823320677e-01
1.470588235294117752e+00 7.352941176470588758e-01 -4.398863103187711232e-04 -7.357340039573776469e-01 4.322301834515236973e-01 5.310396931524197228e-01
1.617647058823529438e+00 7.352941176470588758e-01 7.220338799003300778e-04 -7.345720837671585457e-01 4.491574499487746563e-01 5.181829334621363969e-01
1.764705882352941124e+00 7.352941176470588758e-01 6.067339662558790536e-04 -7.346873836808029967e-01 4.652072712211248740e-01 5.046937779612757913e-01
1.911764705882353033e+00 7.352941176470588758e-01 1.411047460289083233e-04 -7.351530129010299675e-01 4.797789561903294531e-01 4.913905253225907543e-01
