# Z qmu qsqrt 2qsqrt
1.001892705998342764e-01 -7.896424473931060728e-01 1.036312557668831640e-03 2.072625115337663280e-03
9.956886812816573284e-01 1.172867327100285753e-02 1.303682041887444703e-03 2.607364083774889405e-03
2.830492213953941238e-01 3.833029486856772139e-01 1.033877322815900850e-03 2.067754645631801700e-03
9.761453303254686853e-01 -1.442687391754480519e-01 1.059925205260101857e-03 2.119850410520203714e-03
2.956122464967117502e-01 5.085984768226556874e-01 1.016851851373280942e-03 2.033703702746561884e-03
8.554308284992130362e-01 -8.227450243171243738e-01 1.047358228297216171e-03 2.094716456594432341e-03
2.838957155629094897e-01 3.919600811422227493e-01 1.029160972279249400e-03 2.058321944558498800e-03
3.146637553652097963e-01 6.718760855189573888e-01 1.011163841284859520e-03 2.022327682569719041e-03
7.515340993662578128e-01 -1.013200594143943478e+00 1.078688037624568564e-03 2.157376075249137128e-03
3.550145140370886132e-01 9.301618814559997617e-01 1.778813704731209552e-03 3.557627409462419104e-03
2.022657229267658952e-01 -5.771141951171141482e-01 1.114838832705869476e-03 2.229677665411738952e-03
2.974907979725950335e-01 5.261180147828151688e-01 1.033486440233912385e-03 2.066972880467824771e-03
8.949465248328771771e-01 -6.561490549889211765e-01 1.029815014212166714e-03 2.059630028424333428e-03
1.865924160323676568e-03 7.071133222003328500e-01 1.326059613634286705e-03 2.652119227268573409e-03
2.799888227318310108e-01 3.506109314155309020e-01 1.018172030257055022e-03 2.036344060514110044e-03
6.459641084436976710e-01 -6.476997786092855147e-01 1.089094135548249794e-03 2.178188271096499588e-03
1.134132100822667424e-02 8.424997205413691237e-01 1.129150470310971363e-03 2.258300940621942726e-03
8.580420831432542528e-01 -8.160558837625271345e-01 1.039571280677688758e-03 2.079142561355377516e-03
6.371262165866430349e-01 -5.928516150374845139e-01 1.035325476812097535e-03 2.070650953624195070e-03
1.887387057253460676e-01 -7.338907474624731808e-01 1.195088470705961154e-03 2.390176941411922308e-03
2.837775939797600455e-01 3.907064803940456521e-01 9.723175665845047852e-04 1.944635133169009570e-03
1.703022918910496522e-02 8.688902237998983313e-01 1.100363118991046218e-03 2.200726237982092437e-03
2.104161235552611531e-01 -4.773063799786200212e-01 1.050375578686993383e-03 2.100751157373986766e-03
8.622498468551866857e-01 -8.043145002061047322e-01 1.047097474894839036e-03 2.094194949789678073e-03
2.511056776470073637e-01 1.920865025585634378e-02 1.061479448666894157e-03 2.122958897333788314e-03
1.123415586463377414e-01 -9.093353265260384344e-01 1.094073867118572569e-03 2.188147734237145137e-03
1.484484212965701475e-02 8.637348389024827044e-01 1.115233174149452000e-03 2.230466348298904000e-03
6.322966963521118311e-01 -5.585223709845703599e-01 1.035659787621420963e-03 2.071319575242841927e-03
2.016362973796617317e-02 8.657142435809361825e-01 1.077329159207561981e-03 2.154658318415123962e-03
2.867266220728148518e-01 4.212419429662095371e-01 1.031251555866989113e-03 2.062503111733978226e-03
3.717361063952971667e-02 6.520518093504326096e-01 1.068701402077999827e-03 2.137402804155999654e-03
2.051726027926133178e-01 -5.416293384168467950e-01 1.074895554417761457e-03 2.149791108835522914e-03
8.746434046669705475e-01 -7.609659809431005284e-01 1.080011918735420285e-03 2.160023837470840570e-03
6.422949983117980377e-01 -6.263323126633353333e-01 1.009914250373025041e-03 2.019828500746050082e-03
1.988656305672418523e-01 -6.176600741662321425e-01 1.061662280633832471e-03 2.123324561267664942e-03
6.337470116337651227e-01 -5.690813861329804269e-01 1.030898783257724015e-03 2.061797566515448030e-03
2.762303547178729390e-01 3.097648060843558593e-01 1.026271938468674341e-03 2.052543876937348681e-03
7.511899020506014324e-01 -1.012436440333207122e+00 1.061083405157255393e-03 2.122166810314510786e-03
3.039817906904530576e-01 5.842626852572003759e-01 1.028392541618039415e-03 2.056785083236078830e-03
2.837786134281256034e-01 3.907228872134066444e-01 1.018266667066224183e-03 2.036533334132448365e-03
3.039618608358740093e-01 5.842365814609870034e-01 1.068215983455000776e-03 2.136431966910001552e-03
3.719158715671654764e-02 6.517019892897365496e-01 1.103648553597313649e-03 2.207297107194627298e-03
8.851985398937550764e-02 -6.176623901168424302e-01 1.046969335783197929e-03 2.093938671566395859e-03
8.317301810747473878e-01 -8.758357138341266168e-01 1.090331258508757525e-03 2.180662517017515050e-03
5.428281406513878471e-01 1.841725789554915227e-01 1.087527533657953356e-03 2.175055067315906712e-03
